#SIDE LAYER ROW PART FEAST CHANNEL
0     0     0   2    1     0
0     0     0   0    1     1
0     0     0   1    0     37
0     1     0   2    1     4
0     1     0   0    1     3
0     1     0   1    0     39
0     2     0   2    1     6
0     2     0   0    1     5
0     2     0   1    0     41
0     3     0   2    1     10
0     3     0   0    1     7
0     3     0   1    0     43
0     4     0   2    1     12
0     4     0   0    1     9
0     4     0   1    0     45
0     5     0   2    1     16
0     5     0   0    1     11
0     5     0   1    0     47
0     6     0   2    1     18
0     6     0   0    1     13
0     6     0   1    0     49
0     7     0   2    1     22
0     7     0   0    1     15
0     7     0   1    0     51
0     8     0   2    1     24
0     8     0   0    1     17
0     8     0   1    0     53
0     0     1   2    1     28
0     0     1   0    1     19
0     0     1   1    1     37
0     1     1   2    1     30
0     1     1   0    1     21
0     1     1   1    1     39
0     2     1   2    1     34
0     2     1   0    1     23
0     2     1   1    1     41
0     3     1   2    1     36
0     3     1   0    1     25
0     3     1   1    1     43
0     4     1   2    1     40
0     4     1   0    1     27
0     4     1   1    1     45
0     5     1   2    1     42
0     5     1   0    1     29
0     5     1   1    1     47
0     6     1   2    1     46
0     6     1   0    1     31
0     6     1   1    1     49
0     7     1   2    1     48
0     7     1   0    1     33
0     7     1   1    1     51
0     8     1   2    1     52
0     8     1   0    1     35
0     8     1   1    1     53
1     0     0   2    0     0
1     0     0   0    0     1
1     0     0   1    0     2
1     1     0   2    0     4
1     1     0   0    0     3
1     1     0   1    0     8
1     2     0   2    0     6
1     2     0   0    0     5
1     2     0   1    0     14
1     3     0   2    0     10
1     3     0   0    0     7
1     3     0   1    0     20
1     4     0   2    0     12
1     4     0   0    0     9
1     4     0   1    0     26
1     5     0   2    0     16
1     5     0   0    0     11
1     5     0   1    0     32
1     6     0   2    0     18
1     6     0   0    0     13
1     6     0   1    0     38
1     7     0   2    0     22
1     7     0   0    0     15
1     7     0   1    0     44
1     8     0   2    0     24
1     8     0   0    0     17
1     8     0   1    0     50
1     0     1   2    0     28
1     0     1   0    0     19
1     0     1   1    1     2
1     1     1   2    0     30
1     1     1   0    0     21
1     1     1   1    1     8
1     2     1   2    0     34
1     2     1   0    0     23
1     2     1   1    1     14
1     3     1   2    0     36
1     3     1   0    0     25
1     3     1   1    1     20
1     4     1   2    0     40
1     4     1   0    0     27
1     4     1   1    1     26
1     5     1   2    0     42
1     5     1   0    0     29
1     5     1   1    1     32
1     6     1   2    0     46
1     6     1   0    0     31
1     6     1   1    1     38
1     7     1   2    0     48
1     7     1   0    0     33
1     7     1   1    1     44
1     8     1   2    0     52
1     8     1   0    0     35
1     8     1   1    1     50
